id,region_id,title,last_updated,year_founded,total_employees,mission,url,insiders_view,mini_description,alias
83275,9,Instawork,2022-10-17T19:50:38Z,2016-01-01T00:00:00Z,600,"Its digital marketplace connects thousands of businesses and more than one million workers, actively working to help bridge the labor demand/supply gap that is crippling so many businesses, as the country continues to emerge from the COVID-19 pandemic. Instawork helps businesses in food & beverage, hospitality, and warehouse/logistics industries fill temporary and permanent roles in more than 25 U.S. markets.

We have been fortunate to be funded by some of the greatest investors in Silicon Valley including: Benchmark (Bill Gurley), Y Combinator, Spark Capital, Google Ventures, Craft Ventures, and many more. Leveraging our accelerated growth, we will continue to expand throughout the U.S. and globally in order to revolutionize the labor market.

Instawork recently raised $60 million in Series C financing, bringing a total funding to $100 million. The new funding will allow Instawork to continue rapidly expanding into new markets, job categories, and industries, while also investing in more training and development initiatives to help hourly professionals advance their careers.

Our values help us craft impactful products and be extraordinary colleagues to each other:

Empathy, Trust, and Candor
Being empathetic helps build trust in our community and company, and fosters successful decision-making.

Always Be Learning
We learn eagerly, from different teams within and outside the company. Respectful debate makes our company stronger.

Act Like an Owner
We have a strong ownership mentality. Every person on the team has the potential to make a huge impact.

Bias for Action
We practice high-velocity decision-making, despite encountering ambiguity frequently.",https://www.instawork.com,"[{""name"":""Dominique"",""title"":""Sr. Manager, Community Operations"",""answer"":""Embracing ambiguity, viewing challenges as opportunities, and maintaining an optimistic, solution-oriented paradigm is critical. It’s a daily effort, but learning to exercise this mentality has helped me become a better leader, a more constructive co-worker, and I enjoy my work significantly more."",""attr_id"":309,""question"":""What are some things you learned at the company?"",""image_fid"":1648461,""image_uri"":""public://2021-10/D.Harris_4.jpg"",""image_bix_type"":""growth""},{""name"":""Geraldine"",""title"":""Regional Sales Manager"",""answer"":""When I first joined the team, I was the Partnership Manager, working with local businesses (Partners) to ensure they have the best possible experience with our solution. Now, having been recently promoted to Regional Sales Manager, I focus on my individual contributions but now I am also coaching and developing our team. "",""attr_id"":310,""question"":""How does the company support your career growth?"",""image_fid"":1648462,""image_uri"":""public://2021-10/Geraldine Headshot.png"",""image_bix_type"":""adyq""},{""name"":""Maral"",""title"":""Account Manager, Las Vegas"",""answer"":""COVID has made it difficult to get together in-person, but there have been plenty of virtual social events, including happy hours, virtual coffee meet-ups, and trivia at the company all-hands meeting.\r\n\r\nNow that teams are slowly getting back together, there have been competitive games of mini golf, and food truck outings!"",""attr_id"":313,""question"":""What are some social events your company does?"",""image_fid"":1648463,""image_uri"":""public://2021-10/Maral Headshot.jpg"",""image_bix_type"":""culture""}]",Instawork is the leading flexible staffing solution that connects businesses with more than one million hourly workers.,/company/instawork
84241,9,Tonic.ai,2022-10-14T14:46:05Z,2018-01-01T00:00:00Z,100,"Tonic.ai mimics your production databases to create safe, high-quality, synthetic data to be used by your developers in their local environments. Thousands of developers use data generated with Tonic.ai daily to accelerate their CI/CD pipelines in industries as broad-ranging as healthcare, financial services, logistics, education, and e-commerce. Working with customers like eBay, Flexport, and Oscar, Tonic.ai has quadrupled our business over the past 12 months. We are expanding our team to take us to the next level of growth — join us!",https://tonic.ai/,"[{""name"":""Nasir"",""title"":""Account Executive"",""answer"":""I started at Tonic straight out of college and was the company's second SDR. As I quickly learned the ropes of my role, I was able to work with many other departments like product and marketing. It has been a fulfilling experience and I can't wait to grow even more within Tonic."",""attr_id"":309,""question"":""How has your career grown since starting at the company?"",""image_fid"":1650980,""image_uri"":""public://2021-10/NasirLinkedIn.jpg"",""image_bix_type"":""growth""},{""name"":""Sophie"",""title"":""Recruiter"",""answer"":""I love working on the people team at Tonic, especially because one of our main projects is adding more amazing people to our team! We have big hiring goals this year and it is exciting to be a part of the first experience that a candidate has with Tonic. Please make sure to check out our job page, as we our hiring in all areas!"",""attr_id"":310,""question"":""What projects are you most excited about?"",""image_fid"":1651353,""image_uri"":""public://2021-10/sophiesacksphoto.jpg"",""image_bix_type"":""adyq""},{""name"":""Andrew"",""title"":""Co-Founder & CTO"",""answer"":""One of my core values, and one that is shared by our whole engineering team, is generosity. We're generous with one another. And that means we're always available to help each other out."",""attr_id"":311,""question"":""How do you make yourself accessible to the rest of the team?"",""image_fid"":1653140,""image_uri"":""public://2021-10/Andrew.jpg"",""image_bix_type"":""leadership""},{""name"":""Emily"",""title"":""Engineering Manager"",""answer"":""My day has a lot of heads down focus time for me to work on planning and coding. My team and I meet to see how everyone’s doing and work through particularly tricky issues together. I also have a lot of back and forth with our pilot customers as the product I’m working on is much newer and we’re iterating over what makes sense for people to use."",""attr_id"":312,""question"":""What does your typical day look like?"",""image_fid"":1651398,""image_uri"":""public://2021-10/Emily.jpg"",""image_bix_type"":""experience""}]",The Fake Data Company,/company/tonicai
65050,9,Aurora Solar,2022-09-30T17:34:19Z,2013-01-01T00:00:00Z,200,"Aurora Solar develops cloud-based software that enables sophisticated solar PV engineering design, provides workflow management functionality, and facilitates sales and customer acquisition for solar installers and financiers. Our software has been used to create millions of solar projects a month across the US and around the world.",https://aurorasolar.com,"[{""name"":""Morgan"",""title"":""Account Executive"",""answer"":""Following a hyper-growth year, I've developed invaluable skills to identify customer needs and pain points. Additionally, I've developed a curiosity for solving bigger, more complex problems in the solar industry. The sales team is goal-oriented and fosters a cohesive environment where each challenge is acknowledged, evaluated, and embraced."",""attr_id"":309,""question"":""What are some things you learned at the company?"",""image_fid"":1603260,""image_uri"":""public://2021-06/n2_18.png"",""image_bix_type"":""growth""},{""name"":""Marc"",""title"":""Senior Business Solutions Architect"",""answer"":""My team is successful when we combine a really good understanding of our customers' needs, their business goals, and solar industry trends, along with deep knowledge of how our product works, and ways to come up with creative solutions that can achieve our customers' goals."",""attr_id"":310,""question"":""What makes someone successful on your team?"",""image_fid"":1603261,""image_uri"":""public://2021-06/n5_15.png"",""image_bix_type"":""adyq""},{""name"":""Chris"",""title"":""Co-Founder"",""answer"":""One of Aurora Solar's core values is \""outcome over ego\"", which means that anyone in the company is empowered to speak up and contribute. I have seen the magic that happens when you empower a group of incredibly talented people to solve challenging problems that matter. That, to me, is what makes Aurora Solar a truly special place to work at."",""attr_id"":311,""question"":""How do your team's ideas influence the company's direction?"",""image_fid"":1603262,""image_uri"":""public://2021-06/n4_1.png"",""image_bix_type"":""leadership""},{""name"":""Janet"",""title"":""Senior Product Manager"",""answer"":""I work with designers and engineers within my cross-functional team, as well as folks from customer success, sales, business development, and senior leadership. The problems we solve are often inherently difficult and are always focused on supporting our customers to get more solar onto roofs, which feels like a great thing to spend my time on!"",""attr_id"":312,""question"":""How do you collaborate with other teams in the company?"",""image_fid"":1603263,""image_uri"":""public://2021-06/n3_5.png"",""image_bix_type"":""experience""},{""name"":""Peter"",""title"":""Sales Operations"",""answer"":""Aurora has a number of great team-building events and opportunities to celebrate our successes. These activities have ranged from laser tag to happy hours and sunset cruises on the San Francisco Bay."",""attr_id"":313,""question"":""What are some social events your company does?"",""image_fid"":1603264,""image_uri"":""public://2021-06/N1 photo.png"",""image_bix_type"":""culture""}]",Aurora makes the software that is enabling society to transition to a world powered by solar energy.,/company/aurora-solar
54796,9,Cityblock Health,2022-09-30T15:22:50Z,2017-01-01T00:00:00Z,1100,"Cityblock partners with local providers and community-based organizations to address every aspect of life that impacts our members’ health. Without more personalized care, more people will continue to be unwell. When we work together to build a healthcare system that extends beyond doctor’s offices and emergency rooms, we build deeper patient trust and achieve durable health outcomes.",http://www.cityblock.com,[],We believe good health comes from strong community support.,/company/cityblock-health
63878,9,GRAIL,2022-10-11T19:28:54Z,2016-01-01T00:00:00Z,1181,"GRAIL is a healthcare company whose mission is to detect cancer early, when it can be cured. GRAIL is using the power of high-intensity sequencing, population-scale clinical studies, and state-of-the-art computer science and data science to enhance the scientific understanding of cancer biology, and to develop and commercialize pioneering products",https://grail.com/careers/,"[{""name"":""Maryam Hosseini"",""title"":""Director, Laboratory Operations"",""answer"":""Our mission, to detect cancer early, is truly seeking a needle in many haystacks. Our lab has a very complex and sophisticated assay to execute. We leverage cross-training and mentorship programs where new teammates learn the ropes from senior staff. My team sets people up for success by turning tasks into learning opportunities. "",""attr_id"":309,""question"":""What does career growth look like on your team?"",""image_fid"":1591432,""image_uri"":""public://2021-05/n2_77.png"",""image_bix_type"":""growth""},{""name"":""Satnam Alag"",""title"":""SVP, Software Engineering"",""answer"":""The biological problem we're trying to solve is a complex machine learning problem with human lives at stake. From a software engineering point of view, taking massive data, organizing it, building tools to mine it, and deliver results in a scalable, secure, and clinically compliant manner are areas of innovation. This, for me, is my dream job!"",""attr_id"":311,""question"":""How do your team's ideas influence the company's direction?"",""image_fid"":1591433,""image_uri"":""public://2021-05/n4_64.png"",""image_bix_type"":""leadership""},{""name"":""David Jenions"",""title"":""Principal Automation Engineer"",""answer"":""GRAIL has a unique opportunity to scale our operations to add value with our early detection test. Our automation team works on the full spectrum of projects from low-level instrument investigations to overall architectures of processing facilities. I'm excited by projects that push the boundaries of lab automation, and that's what GRAIL is doing."",""attr_id"":312,""question"":""What projects are you most excited about?"",""image_fid"":1591434,""image_uri"":""public://2021-05/n3_77.png"",""image_bix_type"":""experience""},{""name"":""Tristan Matthews"",""title"":""Senior Director, Software Engineering"",""answer"":""People grow their skills both by learning how to rapidly build scalable software systems, but also by partnering with scientists and other domain experts to better understand, model, and envision the systems we will need. We enable and empower our engineers to lead this process and grow with our systems as they make the future of GRAIL a reality."",""attr_id"":313,""question"":""How does your team reward individual success?"",""image_fid"":1677210,""image_uri"":""public://2022-01/image_6487327 (1).JPG"",""image_bix_type"":""culture""}]","GRAIL is a healthcare company whose mission is to detect cancer early, when it can be cured.",/company/grail
93225,9,Multiverse,2022-09-29T16:15:36Z,2016-01-01T00:00:00Z,700,"We are Multiverse, a tech startup with a social mission. Our mission is to create a diverse group of future leaders by building an outstanding alternative to college and corporate training. Our impact focuses on three core areas: measuring potential beyond academics, delivering world-class job-focused training via applied learning, and helping diverse groups of young people build social capital through a thriving community.",https://www.multiverse.io/,"[{""name"":""Nafi"",""title"":""People Partner "",""answer"":""Multiverse has clear leveling frameworks which give our team members a great sense of their growth trajectory. We encourage frequent feedback so that Multiversers and their managers are on the same page about timelines for growth. We also have a few formalized touchpoints a year ensuring that when folks are ready for the next step, they can take it"",""attr_id"":309,""question"":""How does the company support your career growth?"",""image_fid"":1721351,""image_uri"":""public://2022-07/Nafi.png"",""image_bix_type"":""growth""},{""name"":""Michael"",""title"":""Software Engineering Coach "",""answer"":""My time is split between teaching workshops on key software engineering concepts and providing 1:1 coaching for my apprentices. On an instructional day, I start at 9am to demo the day’s content, and spend the afternoon reviewing apprentice code. I support apprentices on a wide range of tech stacks, so I’m always learning something new."",""attr_id"":312,""question"":""What does your typical day look like?"",""image_fid"":1718489,""image_uri"":""public://2022-07/MDOC_headshot.jpg"",""image_bix_type"":""experience""},{""name"":""Jade"",""title"":""Senior Workplace Associate"",""answer"":""The office has a great collaborative atmosphere. Multiversers make it a point to sit with people outside of their team. Along with a variety of snacks and beverages in the office, we like to do a weekly happy hour as well as monthly team events. \r\n"",""attr_id"":313,""question"":""What’s the vibe like in the office?"",""image_fid"":1719998,""image_uri"":""public://2022-07/Jade Headshot.jpeg"",""image_bix_type"":""culture""}]",We're democratizing access to the best careers and learning opportunities. ,/company/multiverse
81667,9,Atlassian,2022-09-30T18:05:12Z,2012-01-01T00:00:00Z,7000,"Atlassian builds software that empowers everyone from small startups to government and education to the who’s who of tech. We build tools like Jira, Confluence, Bitbucket, Trello, and OpsGenie to help teams across the world become more nimble, creative, and aligned — collaboration continues to drive the heart of every product we dream up.",https://www.atlassian.com/,"[{""name"":""Noah Wasmer"",""title"":""Head of Tech Teams"",""answer"":""As the world gets eaten be software, Atlassian plays a foundational role: how do we help knowledge leaders articulate how business operates today? How do we engage 'visioneers' to help reimagine an analog process into something digital? And how do we ensure that we enable developers to be as productive and effective as possible?\r\n"",""attr_id"":311,""question"":""What is your vision for the company?"",""image_fid"":0,""image_uri"":"""",""image_bix_type"":""leadership""},{""name"":""Kesha"",""title"":""Product Marketing Manager"",""answer"":""Atlassian creates a culture that sees and understands employees as humans. We take time to celebrate how weird we all are, and it shows in the work we do. \r\n"",""attr_id"":313,""question"":""What's something quirky about your company?"",""image_fid"":0,""image_uri"":"""",""image_bix_type"":""culture""}]",,/company/atlassian
64610,9,SpotOn,2022-09-30T18:48:14Z,2017-01-01T00:00:00Z,1800,"SpotOn brings together payment processing and a robust software solution, giving its merchants richer data and tools that empower them to market more effectively to their customers. The SpotOn platform offers the most comprehensive tools for SMB's including payments, marketing, reviews, analytics and loyalty.",http://www.spoton.com,[],SpotOn helps small businesses grow,/company/spoton
63977,9,IMC Trading,2022-10-19T20:30:27Z,1989-01-01T00:00:00Z,1200,"We're one of the world's leading market makers, trading on 100+ exchanges around the world. Founded in Amsterdam in 1989, IMC was among the first to value the importance of technology and innovation in the evolution of trading. As we invested we grew, from 2 to over 1,200. Today we operate globally – across time zones and continents.",https://www.imc.com,"[{""name"":""Veronica"",""title"":""Software Developer"",""answer"":""I started at IMC as an intern. I’d never studied anything finance-related before. Through training, IMC brought me up to speed in a way that was fun, interesting and made me excited to learn about trading. I also think about problems differently now: there is never one set answer but multiple potential solutions to any problem."",""attr_id"":309,""question"":""What are some things you learned at the company?"",""image_fid"":1592620,""image_uri"":""public://2021-05/n2_111.png"",""image_bix_type"":""growth""},{""name"":""Andy"",""title"":""Head of Technology"",""answer"":""I’ve been at IMC for nine years. When I started, we were a trading company with good technology. Now, we’re a technology company that trades. Traders used to be nervous when we were doing upgrades. Now, if we go a day or two without being able to upgrade, traders start craving the new thing that’s coming."",""attr_id"":311,""question"":""How do your team's ideas influence the company's direction?"",""image_fid"":1592621,""image_uri"":""public://2021-05/n4_98.png"",""image_bix_type"":""leadership""},{""name"":""Theo"",""title"":""Software Developer"",""answer"":""We tackle complex, massively scaled projects and thrive on a quick turnaround cycle. Since we're our own clients, everyone is their own product manager. This frees us up to focus on the hardest parts of problems, not aesthetics. The code we push is trading around the world within a day or two, and as a result we see immediate results of our work."",""attr_id"":312,""question"":""What kinds of technical challenges do you and your team face?"",""image_fid"":1592622,""image_uri"":""public://2021-05/n3_113.png"",""image_bix_type"":""experience""},{""name"":""Stephan "",""title"":""Hardware Engineer"",""answer"":""IMC is proactive about giving! What impresses me is not the financial generosity (which is large) — it's the time generosity.  We have two giving managers who make sure everyone gets a chance to participate. Whereas in other companies, philanthropy feels abstract and mainly a tax write-off, here it is woven into everyday office culture."",""attr_id"":313,""question"":""What's something quirky about your company?"",""image_fid"":1592623,""image_uri"":""public://2021-05/n1_116.png"",""image_bix_type"":""culture""}]",IMC is a proprietary trading firm and market maker in various products listed on exchanges globally.,/company/imc-trading
89578,9,DISH,2022-10-19T15:02:53Z,1996-01-01T00:00:00Z,18000,"For over 40 years, we’ve been challenging the status quo and evolving our company to anticipate opportunities for business growth, industry innovation and greater customer choice.

Today, our brands include DISH TV, Sling TV, Boost Mobile, DISH Wireless, OnTech, and Gen Mobile. With our business reach, we cover satellite television service, live-streaming and on-demand programming, mobile plans and products, smart home installation services and, now, we are building America’s First Smart Network™. 

Our workforce is dedicated to using the latest technology to innovate the world around us, whether that means connecting families to state-of-the-art in-home technologies, launching satellites into orbit or laying the groundwork for smart cities as we build America’s First Smart Network™. We’re breaking the mold as proud leaders in customer satisfaction and next-generation communications technology.",http://careers.dish.com,"[{""name"":""Sonya"",""title"":""HR Manager, Leadership & Organizational Development"",""answer"":""Throughout my 15 years at DISH, my career within Human Resources has grown incredibly (with a number of promotions throughout my tenure). DISH has given me the opportunity to choose the direction of my career, allowed me to participate in several leadership development courses within the company and challenged me to excel in each transition."",""attr_id"":309,""question"":""How does the company support your career growth?"",""image_fid"":1699791,""image_uri"":""public://2022-05/2022 Hop Photo (1).jpeg"",""image_bix_type"":""growth""},{""name"":""Mac"",""title"":""VP, Head of Network Engineering"",""answer"":""At DISH, we are building something that has never been built before, to be part of history and change the way humans and things connect. I wanted to lead teams that push themselves and each other to be better every day. DISH is going to change communications, not just for subscribers but for businesses across the nation."",""attr_id"":310,""question"":""What is your vision for the company?"",""image_fid"":1699792,""image_uri"":""public://2022-05/Screen Shot 2022-04-22 at 12.57.14 PM.png"",""image_bix_type"":""adyq""},{""name"":""Seth"",""title"":""SVP, Sling Product and Operations"",""answer"":""We promote an empowered team product structure, meaning we don't give our team a product to build. We give them a problem to solve. How they choose to solve that problem is derived from discovery, talking to customers, and understanding how to build a solution that will work for the customer. It's not about pushing out feature after feature."",""attr_id"":311,""question"":""How do you empower your team to be more creative?"",""image_fid"":1699793,""image_uri"":""public://2022-05/Screen Shot 2022-04-25 at 11.28.05 AM.png"",""image_bix_type"":""leadership""},{""name"":""William"",""title"":""Senior IT Manager"",""answer"":""One exciting new project we are working on is the blockchain initiative that we are building.  We are moving way beyond just cryptocurrency.  The blockchain capabilities we are building will create entirely new business models and services that enable fast, on-the-fly, secure, and verifiable access to our spectrum."",""attr_id"":312,""question"":""What projects are you most excited about?"",""image_fid"":1699794,""image_uri"":""public://2022-05/HR_28774_TA_Headshots_William_Acosta_581.jpeg"",""image_bix_type"":""experience""},{""name"":""Ali"",""title"":""Experience Manager, DISH Grand Central"",""answer"":""At our DISH Grand Central location, we strive to uphold a strong culture! We have a Bureau of Serious fun that consists of a group of people who plan and host potlucks, trivia challenges, and a variety of monthly events. We even started a walking club that takes place on Friday afternoon during the lunch hour!"",""attr_id"":313,""question"":""What are some social events your company does?"",""image_fid"":1699795,""image_uri"":""public://2022-05/Head Shot.jpeg"",""image_bix_type"":""culture""}]","From TV to 5G, we’re reimagining the future of connectivity. Ready to join the technology revolution?",/company/dish
